po_line_id,po_number,supplier_id,part_id,plant_id,source_id,order_date,requested_date,promised_date,qty_ordered,unit_price,currency
POL0000023,4500004,S0015,PN00246,P500,SRC000764,2025-01-22,2025-03-26,2025-03-26,296,7.66,USD
POL0000024,4500004,S0047,PN00070,P200,SRC000220,2025-03-19,2025-04-06,2025-04-06,500,55.18,USD
POL0000025,4500004,S0046,PN00018,P500,SRC000056,2026-03-13,2026-05-14,2026-05-14,29,13.26,USD
POL0000026,4500004,S0013,PN00286,P600,SRC000903,2025-07-16,2025-07-29,2025-07-31,166,22.01,USD
POL0000027,4500004,S0005,PN00223,P100,SRC000684,2025-04-11,2025-06-24,2025-06-24,86,8.3,USD
POL0000028,4500004,S0046,PN00302,P600,SRC000962,2025-10-18,2025-10-31,2025-11-05,192,19.36,USD
POL0000029,4500005,S0008,PN00122,P200,SRC000366,2025-03-02,2025-04-15,2025-04-17,100,65.1,USD
POL0000030,4500005,S0047,PN00215,P300,SRC000657,2025-05-04,2025-07-17,2025-07-22,294,7.19,USD
POL0000031,4500005,S0034,PN00081,P100,SRC000248,2026-03-31,2026-05-27,2026-05-27,50,6.41,USD
POL0000032,4500005,S0029,PN00284,P200,SRC000898,2025-02-23,2025-03-02,2025-03-02,500,48.58,USD
POL0000033,4500005,S0025,PN00008,P100,SRC000022,2025-09-04,2025-10-16,2025-10-16,500,136.71,USD
POL0000034,4500005,S0006,PN00099,P200,SRC000293,2025-02-17,2025-04-21,2025-04-26,50,26.6,USD
POL0000035,4500005,S0005,PN00238,P100,SRC000742,2026-04-01,2026-05-22,2026-05-22,59,17.8,USD
POL0000036,4500006,S0050,PN00123,P400,SRC000373,2025-07-07,2025-08-10,2025-08-15,100,26.71,USD
POL0000037,4500006,S0034,PN00081,P300,SRC000250,2025-03-12,2025-04-14,2025-04-19,500,5.9,USD
POL0000038,4500006,S0021,PN00328,P200,SRC001037,2025-05-19,2025-08-02,2025-08-02,500,7.81,USD
POL0000039,4500006,S0032,PN00177,P600,SRC000528,2025-01-27,2025-03-06,2025-03-06,152,14.72,USD
POL0000040,4500006,S0007,PN00370,P100,SRC001144,2026-01-21,2026-02-11,2026-02-11,231,26.08,USD
POL0000041,4500006,S0003,PN00111,P300,SRC000328,2025-05-09,2025-07-18,2025-07-23,100,108.7,USD
POL0000042,4500006,S0014,PN00114,P300,SRC000338,2025-11-09,2025-12-13,2025-12-18,500,49.91,USD
POL0000043,4500007,S0055,PN00258,P100,SRC000808,2025-04-05,2025-04-24,2025-04-29,500,34.49,USD
POL0000044,4500007,S0024,PN00282,P100,SRC000892,2025-11-04,2025-11-14,2025-11-14,71,11.9,USD
POL0000045,4500007,S0006,PN00056,P100,SRC000176,2025-06-17,2025-07-03,2025-07-08,163,30.37,USD
POL0000046,4500007,S0025,PN00281,P600,SRC000888,2026-01-15,2026-02-05,2026-02-10,500,10.69,USD
POL0000047,4500007,S0038,PN00092,P500,SRC000277,2025-09-15,2025-11-05,2025-11-10,176,25.7,USD
POL0000048,4500007,S0059,PN00121,P600,SRC000359,2025-05-05,2025-05-20,2025-05-20,500,47.84,USD
POL0000049,4500007,S0018,PN00364,P300,SRC001127,2025-12-01,2026-01-11,2026-01-13,116,14.91,USD
POL0000050,4500008,S0043,PN00034,P200,SRC000100,2025-08-04,2025-08-16,2025-08-21,200,12.92,USD
POL0000051,4500008,S0017,PN00163,P400,SRC000493,2025-10-13,2025-11-25,2025-11-25,125,16.67,USD
POL0000052,4500008,S0035,PN00322,P600,SRC001018,2025-09-18,2025-09-26,2025-09-26,133,65.44,USD
POL0000053,4500008,S0050,PN00208,P100,SRC000637,2025-09-26,2025-11-21,2025-11-26,105,50.44,USD
POL0000054,4500008,S0034,PN00244,P500,SRC000759,2025-02-20,2025-03-06,2025-03-06,64,70.3,USD
POL0000055,4500008,S0046,PN00116,P600,SRC000340,2025-02-19,2025-03-03,2025-03-03,104,32.38,USD
POL0000056,4500008,S0034,PN00209,P500,SRC000640,2026-03-02,2026-03-23,2026-03-25,500,23.24,USD
POL0000057,4500009,S0005,PN00091,P300,SRC000274,2025-02-08,2025-02-16,2025-02-16,100,33.66,USD
POL0000058,4500009,S0055,PN00129,P500,SRC000389,2026-03-07,2026-04-08,2026-04-13,548,8.94,USD
POL0000059,4500009,S0051,PN00319,P500,SRC001012,2026-01-11,2026-02-26,2026-02-28,100,28.61,USD
POL0000060,4500009,S0016,PN00196,P100,SRC000606,2025-11-19,2025-12-26,2025-12-28,120,36.04,USD
POL0000061,4500009,S0056,PN00188,P300,SRC000572,2025-06-13,2025-08-27,2025-08-27,500,13.93,USD
POL0000062,4500009,S0005,PN00138,P300,SRC000418,2026-02-24,2026-03-08,2026-03-08,57,6.14,USD
POL0000063,4500009,S0014,PN00283,P100,SRC000897,2026-02-15,2026-02-28,2026-03-02,111,6.54,USD
POL0000064,4500010,S0047,PN00362,P600,SRC001121,2025-06-19,2025-08-20,2025-08-22,100,17.4,USD
POL0000065,4500010,S0005,PN00249,P500,SRC000778,2025-12-19,2026-03-03,2026-03-03,179,27.58,USD
POL0000066,4500010,S0031,PN00326,P500,SRC001030,2025-11-06,2026-01-07,2026-01-07,100,47.71,USD
POL0000067,4500010,S0055,PN00258,P500,SRC000810,2025-08-30,2025-11-08,2025-11-10,100,34.71,USD
POL0000068,4500010,S0049,PN00229,P100,SRC000712,2025-01-13,2025-01-23,2025-01-25,500,59.99,USD
POL0000069,4500010,S0034,PN00374,P400,SRC001164,2025-10-31,2026-01-04,2026-01-04,100,111.29,USD
POL0000070,4500010,S0011,PN00131,P400,SRC000394,2025-10-17,2025-11-03,2025-11-08,500,23.93,USD
POL0000071,4500011,S0043,PN00034,P200,SRC000100,2025-02-23,2025-03-07,2025-03-09,139,12.76,USD
POL0000072,4500011,S0046,PN00068,P100,SRC000216,2026-02-16,2026-04-08,2026-04-13,83,144.96,USD
POL0000073,4500011,S0048,PN00225,P300,SRC000696,2025-03-26,2025-06-03,2025-06-03,100,11.93,USD
POL0000074,4500011,S0057,PN00277,P400,SRC000866,2025-04-13,2025-04-29,2025-04-29,100,20.06,USD
POL0000075,4500011,S0008,PN00322,P600,SRC001019,2026-03-21,2026-05-29,2026-05-31,106,72.96,USD
POL0000076,4500011,S0024,PN00233,P200,SRC000725,2026-01-28,2026-03-16,2026-03-18,32,20.37,USD
POL0000077,4500011,S0043,PN00371,P400,SRC001145,2025-11-11,2025-12-19,2025-12-19,100,35.98,USD
POL0000078,4500012,S0005,PN00223,P500,SRC000690,2025-07-13,2025-09-19,2025-09-21,500,7.72,USD
POL0000079,4500012,S0041,PN00223,P500,SRC000691,2025-09-08,2025-11-01,2025-11-01,160,7.1,USD
POL0000080,4500012,S0001,PN00400,P200,SRC001230,2025-04-08,2025-06-03,2025-06-05,100,58.63,USD
POL0000081,4500012,S0052,PN00007,P100,SRC000018,2025-05-20,2025-07-31,2025-07-31,158,52.73,USD
POL0000082,4500012,S0038,PN00242,P400,SRC000756,2026-01-01,2026-03-09,2026-03-09,126,67.1,USD
POL0000083,4500012,S0038,PN00079,P600,SRC000240,2025-11-11,2025-12-22,2025-12-22,500,22.07,USD
POL0000084,4500012,S0048,PN00224,P600,SRC000692,2025-03-02,2025-04-22,2025-04-22,500,31.14,USD
POL0000085,4500013,S0031,PN00341,P200,SRC001068,2026-01-18,2026-03-16,2026-03-16,59,11.22,USD
POL0000086,4500013,S0005,PN00148,P200,SRC000446,2026-01-31,2026-04-14,2026-04-19,74,90.56,USD
POL0000087,4500013,S0023,PN00118,P600,SRC000354,2025-06-25,2025-08-24,2025-08-29,118,16.95,USD
POL0000088,4500013,S0036,PN00259,P100,SRC000813,2025-01-18,2025-03-29,2025-03-29,189,42.96,USD
POL0000089,4500013,S0031,PN00076,P300,SRC000232,2025-01-12,2025-02-24,2025-02-26,196,4.27,USD
POL0000090,4500013,S0043,PN00371,P400,SRC001145,2025-04-30,2025-06-07,2025-06-12,100,36.88,USD
POL0000091,4500013,S0001,PN00388,P600,SRC001201,2026-01-20,2026-02-10,2026-02-10,100,29.35,USD
POL0000092,4500014,S0003,PN00363,P100,SRC001125,2025-12-09,2026-01-12,2026-01-14,423,38.77,USD
POL0000093,4500014,S0059,PN00160,P600,SRC000481,2025-02-06,2025-02-27,2025-02-27,84,136.37,USD
POL0000094,4500014,S0003,PN00032,P600,SRC000094,2025-04-28,2025-07-01,2025-07-01,90,18.96,USD
POL0000095,4500014,S0035,PN00288,P300,SRC000910,2025-12-02,2025-12-17,2025-12-19,100,22.06,USD
POL0000096,4500014,S0009,PN00048,P300,SRC000139,2026-02-18,2026-03-10,2026-03-12,91,13.21,USD
POL0000097,4500014,S0005,PN00138,P100,SRC000414,2025-12-29,2026-03-05,2026-03-10,500,5.71,USD
POL0000098,4500014,S0048,PN00181,P400,SRC000550,2025-06-02,2025-07-12,2025-07-12,500,13.41,USD
POL0000099,4500015,S0016,PN00325,P200,SRC001024,2026-03-04,2026-04-06,2026-04-11,99,31.35,USD
POL0000100,4500015,S0014,PN00250,P400,SRC000785,2025-06-04,2025-08-17,2025-08-19,100,10.3,USD
POL0000101,4500015,S0034,PN00244,P500,SRC000759,2025-10-04,2025-10-18,2025-10-18,119,72.21,USD
POL0000102,4500015,S0045,PN00164,P200,SRC000499,2025-01-10,2025-03-18,2025-03-20,121,18.18,USD
POL0000103,4500015,S0025,PN00235,P200,SRC000734,2025-10-05,2025-11-28,2025-11-30,500,26.5,USD
POL0000104,4500015,S0027,PN00013,P300,SRC000038,2026-03-13,2026-03-23,2026-03-28,102,116.13,USD
POL0000105,4500015,S0047,PN00045,P500,SRC000132,2025-05-29,2025-07-08,2025-07-08,100,18.54,USD
POL0000106,4500016,S0058,PN00162,P200,SRC000490,2025-01-02,2025-03-18,2025-03-23,607,37.11,USD
POL0000107,4500016,S0002,PN00241,P600,SRC000752,2025-09-15,2025-10-23,2025-10-23,500,33.53,USD
POL0000108,4500016,S0052,PN00158,P400,SRC000474,2025-09-19,2025-10-01,2025-10-01,159,42.84,USD
POL0000109,4500016,S0057,PN00293,P400,SRC000930,2025-12-16,2025-12-26,2025-12-28,77,55.27,USD
POL0000110,4500016,S0053,PN00162,P400,SRC000488,2026-02-26,2026-04-06,2026-04-06,46,35.08,USD
POL0000111,4500016,S0010,PN00067,P200,SRC000214,2025-07-31,2025-08-20,2025-08-20,100,9.56,USD
POL0000112,4500016,S0008,PN00140,P400,SRC000421,2025-12-19,2026-02-27,2026-03-01,58,42.16,USD
POL0000113,4500017,S0047,PN00124,P100,SRC000375,2026-01-01,2026-03-15,2026-03-17,119,12.35,USD
POL0000114,4500017,S0006,PN00399,P100,SRC001227,2025-07-27,2025-08-04,2025-08-06,109,43.76,USD
POL0000115,4500017,S0055,PN00194,P100,SRC000597,2025-07-14,2025-08-04,2025-08-04,115,15.24,USD
POL0000116,4500017,S0035,PN00251,P400,SRC000787,2025-01-07,2025-01-16,2025-01-21,74,29.93,USD
POL0000117,4500017,S0016,PN00222,P300,SRC000677,2025-02-16,2025-03-24,2025-03-24,63,73.94,USD
POL0000118,4500017,S0046,PN00180,P100,SRC000544,2025-09-01,2025-11-11,2025-11-11,50,24.58,USD
POL0000119,4500017,S0031,PN00106,P600,SRC000307,2025-07-28,2025-08-29,2025-09-03,38,143.75,USD
POL0000120,4500018,S0058,PN00248,P200,SRC000770,2025-02-27,2025-04-26,2025-04-26,87,143.88,USD
POL0000121,4500018,S0040,PN00216,P500,SRC000661,2025-04-04,2025-05-27,2025-05-27,451,27.95,USD
POL0000122,4500018,S0039,PN00078,P400,SRC000237,2025-07-22,2025-07-31,2025-07-31,311,46.04,USD
POL0000123,4500018,S0030,PN00385,P600,SRC001197,2025-07-01,2025-08-08,2025-08-08,50,139.25,USD
POL0000124,4500018,S0024,PN00113,P400,SRC000335,2025-02-08,2025-03-30,2025-03-30,100,47.38,USD
POL0000125,4500018,S0002,PN00152,P100,SRC000459,2025-02-21,2025-03-10,2025-03-10,117,175.67,USD
POL0000126,4500018,S0013,PN00298,P300,SRC000946,2025-05-14,2025-05-27,2025-06-01,95,189.05,USD
POL0000127,4500019,S0049,PN00087,P400,SRC000265,2025-06-14,2025-08-10,2025-08-12,500,112.07,USD
POL0000128,4500019,S0041,PN00217,P200,SRC000662,2025-05-25,2025-06-11,2025-06-16,100,159.31,USD
POL0000129,4500019,S0013,PN00256,P600,SRC000801,2025-04-08,2025-04-25,2025-04-25,171,17.47,USD
POL0000130,4500019,S0057,PN00353,P500,SRC001094,2025-07-25,2025-10-04,2025-10-09,100,23.49,USD
POL0000131,4500019,S0011,PN00355,P200,SRC001098,2026-01-02,2026-02-06,2026-02-11,500,36.32,USD
POL0000132,4500019,S0034,PN00081,P600,SRC000249,2025-03-25,2025-05-23,2025-05-25,81,6.51,USD
POL0000133,4500019,S0016,PN00196,P400,SRC000604,2025-11-06,2026-01-10,2026-01-10,148,35.01,USD
POL0000134,4500020,S0057,PN00277,P400,SRC000866,2025-11-30,2025-12-16,2025-12-18,160,19.96,USD
POL0000135,4500020,S0047,PN00070,P200,SRC000220,2025-09-23,2025-10-11,2025-10-11,518,53.82,USD
POL0000136,4500020,S0041,PN00091,P300,SRC000275,2025-08-03,2025-09-23,2025-09-23,500,35.46,USD
POL0000137,4500020,S0058,PN00056,P100,SRC000175,2025-12-04,2025-12-15,2025-12-15,293,27.41,USD
POL0000138,4500020,S0051,PN00234,P300,SRC000730,2025-09-22,2025-11-24,2025-11-29,203,49.25,USD
POL0000139,4500020,S0006,PN00056,P100,SRC000176,2025-01-18,2025-02-03,2025-02-03,45,30.82,USD
POL0000140,4500020,S0021,PN00219,P300,SRC000670,2025-03-02,2025-05-12,2025-05-12,139,130.72,USD
POL0000141,4500021,S0021,PN00344,P300,SRC001077,2025-06-07,2025-07-10,2025-07-12,90,99.51,USD
POL0000142,4500021,S0001,PN00064,P200,SRC000197,2025-12-15,2026-02-27,2026-02-27,334,11.34,USD
POL0000143,4500021,S0005,PN00028,P300,SRC000079,2026-01-22,2026-02-09,2026-02-11,34,24.26,USD
POL0000144,4500021,S0031,PN00211,P600,SRC000643,2026-01-31,2026-04-03,2026-04-08,80,30.11,USD
POL0000145,4500021,S0045,PN00394,P300,SRC001218,2025-07-15,2025-09-19,2025-09-19,33,114.07,USD
POL0000146,4500021,S0016,PN00361,P100,SRC001112,2025-11-24,2026-01-03,2026-01-08,50,40.84,USD
POL0000147,4500021,S0032,PN00239,P200,SRC000747,2025-10-17,2025-12-18,2025-12-20,278,15.1,USD
POL0000148,4500022,S0036,PN00279,P400,SRC000877,2025-11-06,2026-01-05,2026-01-07,418,36.33,USD
POL0000149,4500022,S0012,PN00263,P200,SRC000825,2025-01-14,2025-01-23,2025-01-23,98,26.24,USD
POL0000150,4500022,S0059,PN00383,P300,SRC001193,2025-05-22,2025-06-06,2025-06-08,160,32.22,USD
POL0000151,4500022,S0027,PN00304,P500,SRC000971,2025-03-30,2025-04-29,2025-05-01,187,85.07,USD
POL0000152,4500022,S0047,PN00252,P100,SRC000788,2026-01-23,2026-03-09,2026-03-11,100,60.7,USD
POL0000153,4500022,S0001,PN00245,P100,SRC000763,2025-02-08,2025-04-03,2025-04-03,158,1.06,USD
POL0000154,4500022,S0053,PN00387,P500,SRC001199,2025-06-15,2025-07-31,2025-07-31,82,10.03,USD
POL0000155,4500023,S0034,PN00088,P100,SRC000266,2025-01-07,2025-03-08,2025-03-08,500,163.17,USD
POL0000156,4500023,S0043,PN00292,P600,SRC000927,2025-12-28,2026-02-04,2026-02-04,158,9.75,USD
POL0000157,4500023,S0029,PN00325,P200,SRC001025,2025-04-27,2025-05-10,2025-05-10,208,30.75,USD
POL0000158,4500023,S0058,PN00027,P600,SRC000075,2025-07-01,2025-08-02,2025-08-02,213,210.92,USD
POL0000159,4500023,S0051,PN00127,P600,SRC000384,2025-01-04,2025-03-06,2025-03-11,153,11.14,USD
POL0000160,4500023,S0031,PN00134,P500,SRC000408,2025-02-18,2025-04-09,2025-04-11,660,88.71,USD
POL0000161,4500023,S0035,PN00093,P600,SRC000279,2025-11-28,2025-12-10,2025-12-10,37,6.53,USD
POL0000162,4500024,S0029,PN00133,P500,SRC000400,2025-06-06,2025-08-02,2025-08-02,233,21.27,USD
POL0000163,4500024,S0017,PN00278,P600,SRC000873,2026-03-27,2026-06-04,2026-06-04,100,94.85,USD
POL0000164,4500024,S0048,PN00067,P400,SRC000211,2025-02-21,2025-05-07,2025-05-09,100,8.02,USD
POL0000165,4500024,S0009,PN00103,P300,SRC000300,2025-03-14,2025-03-28,2025-03-28,311,75.87,USD
POL0000166,4500024,S0008,PN00037,P500,SRC000112,2025-12-02,2025-12-20,2025-12-20,328,20.25,USD
POL0000167,4500024,S0008,PN00042,P500,SRC000126,2025-10-15,2025-10-27,2025-10-29,111,14.18,USD
POL0000168,4500024,S0047,PN00215,P300,SRC000657,2025-01-25,2025-04-09,2025-04-09,70,7.28,USD
POL0000169,4500025,S0014,PN00040,P100,SRC000120,2025-04-06,2025-04-13,2025-04-13,123,29.05,USD
POL0000170,4500025,S0016,PN00361,P100,SRC001112,2025-12-04,2026-01-13,2026-01-13,183,43.01,USD
POL0000171,4500025,S0018,PN00364,P100,SRC001126,2025-07-29,2025-08-13,2025-08-13,100,15.85,USD
POL0000172,4500025,S0002,PN00107,P300,SRC000313,2025-12-15,2026-02-08,2026-02-10,59,85.95,USD
POL0000173,4500025,S0006,PN00399,P100,SRC001227,2025-08-29,2025-09-06,2025-09-08,50,45.69,USD
POL0000174,4500025,S0004,PN00261,P300,SRC000818,2025-09-15,2025-11-12,2025-11-12,343,46.27,USD
POL0000175,4500025,S0025,PN00376,P100,SRC001169,2025-09-16,2025-11-18,2025-11-18,500,37.39,USD
POL0000176,4500026,S0047,PN00215,P300,SRC000657,2025-11-13,2026-01-26,2026-01-26,141,6.96,USD
POL0000177,4500026,S0049,PN00244,P500,SRC000760,2025-08-19,2025-10-16,2025-10-16,172,69.93,USD
POL0000178,4500026,S0017,PN00166,P200,SRC000503,2026-03-27,2026-06-06,2026-06-11,50,37.38,USD
POL0000179,4500026,S0045,PN00053,P600,SRC000162,2025-09-29,2025-12-12,2025-12-12,26,98.97,USD
POL0000180,4500026,S0031,PN00080,P400,SRC000246,2025-06-22,2025-08-03,2025-08-08,433,34.56,USD
POL0000181,4500026,S0004,PN00063,P300,SRC000195,2025-07-25,2025-10-02,2025-10-07,145,92.7,USD
POL0000182,4500026,S0056,PN00266,P400,SRC000833,2026-02-07,2026-03-28,2026-03-28,500,70.32,USD
POL0000183,4500027,S0052,PN00041,P300,SRC000122,2025-10-15,2025-11-01,2025-11-01,500,22.35,USD
POL0000184,4500027,S0031,PN00389,P100,SRC001205,2025-12-06,2025-12-19,2025-12-19,83,80.76,USD
POL0000185,4500027,S0042,PN00226,P500,SRC000699,2026-03-30,2026-05-08,2026-05-08,100,14.4,USD
POL0000186,4500027,S0010,PN00067,P400,SRC000210,2025-11-29,2026-01-23,2026-01-23,500,9.54,USD
POL0000187,4500027,S0031,PN00080,P400,SRC000246,2025-08-29,2025-10-10,2025-10-12,54,32.59,USD
POL0000188,4500027,S0056,PN00109,P400,SRC000318,2025-04-09,2025-06-04,2025-06-06,64,19.23,USD
POL0000189,4500027,S0046,PN00030,P300,SRC000091,2025-07-11,2025-07-26,2025-07-26,108,121.98,USD
POL0000190,4500028,S0017,PN00278,P600,SRC000873,2025-08-29,2025-11-06,2025-11-06,196,98.37,USD
POL0000191,4500028,S0034,PN00332,P300,SRC001050,2026-01-23,2026-03-27,2026-03-27,25,77.13,USD
POL0000192,4500028,S0008,PN00140,P300,SRC000423,2026-01-11,2026-02-19,2026-02-19,221,35.59,USD
POL0000193,4500028,S0036,PN00286,P600,SRC000902,2025-06-13,2025-07-26,2025-07-28,100,22.85,USD
POL0000194,4500028,S0029,PN00375,P400,SRC001167,2025-07-26,2025-09-11,2025-09-13,231,7.39,USD
POL0000195,4500028,S0052,PN00007,P100,SRC000018,2026-02-10,2026-04-23,2026-04-23,85,51.78,USD
POL0000196,4500028,S0053,PN00381,P400,SRC001189,2025-02-04,2025-04-15,2025-04-15,185,44.95,USD
POL0000197,4500029,S0017,PN00213,P600,SRC000651,2025-06-24,2025-09-06,2025-09-06,30,150.93,USD
POL0000198,4500029,S0029,PN00222,P100,SRC000682,2025-10-23,2025-12-25,2025-12-25,275,79.94,USD
POL0000199,4500029,S0050,PN00059,P400,SRC000184,2025-06-14,2025-08-07,2025-08-07,100,14.13,USD
POL0000200,4500029,S0034,PN00379,P300,SRC001182,2025-09-06,2025-11-09,2025-11-09,122,52.67,USD
POL0000201,4500029,S0008,PN00104,P100,SRC000302,2025-07-12,2025-08-21,2025-08-23,583,13.2,USD
POL0000202,4500029,S0048,PN00181,P400,SRC000550,2025-07-15,2025-08-24,2025-08-29,500,13.76,USD
POL0000203,4500029,S0060,PN00132,P200,SRC000397,2026-01-23,2026-03-12,2026-03-17,50,22.19,USD
POL0000204,4500030,S0057,PN00293,P500,SRC000932,2025-09-10,2025-11-07,2025-11-09,102,47.24,USD
POL0000205,4500030,S0029,PN00023,P500,SRC000068,2025-12-16,2026-02-15,2026-02-20,151,3.19,USD
POL0000206,4500030,S0020,PN00299,P100,SRC000948,2025-09-10,2025-11-13,2025-11-13,194,42.63,USD
POL0000207,4500030,S0013,PN00359,P200,SRC001104,2025-03-26,2025-04-30,2025-05-02,38,74.47,USD
POL0000208,4500030,S0029,PN00133,P500,SRC000400,2025-05-14,2025-07-10,2025-07-12,50,20.61,USD
POL0000209,4500030,S0020,PN00122,P200,SRC000367,2025-12-20,2026-02-08,2026-02-08,73,65.42,USD
POL0000210,4500030,S0025,PN00376,P100,SRC001169,2025-07-18,2025-09-19,2025-09-19,500,38.79,USD
POL0000211,4500031,S0053,PN00387,P500,SRC001199,2026-01-15,2026-03-02,2026-03-02,33,9.56,USD
POL0000212,4500031,S0021,PN00377,P100,SRC001177,2026-02-10,2026-03-02,2026-03-02,54,118.96,USD
POL0000213,4500031,S0044,PN00199,P500,SRC000614,2026-03-02,2026-03-11,2026-03-13,500,167.69,USD
POL0000214,4500031,S0048,PN00001,P400,SRC000003,2025-11-29,2026-01-23,2026-01-23,500,31.18,USD
POL0000215,4500031,S0019,PN00058,P400,SRC000180,2026-01-12,2026-03-23,2026-03-23,66,19.13,USD
POL0000216,4500031,S0022,PN00354,P100,SRC001095,2025-06-25,2025-08-15,2025-08-20,42,12.4,USD
POL0000217,4500031,S0034,PN00350,P200,SRC001086,2025-09-14,2025-11-24,2025-11-29,117,156.85,USD
POL0000218,4500032,S0051,PN00160,P500,SRC000480,2025-10-23,2025-12-08,2025-12-08,269,143.31,USD
POL0000219,4500032,S0049,PN00313,P400,SRC000996,2025-09-11,2025-11-02,2025-11-02,500,31.5,USD
POL0000220,4500032,S0029,PN00375,P400,SRC001167,2025-12-05,2026-01-21,2026-01-23,63,7.49,USD
POL0000221,4500032,S0036,PN00191,P200,SRC000584,2026-02-13,2026-04-16,2026-04-18,500,45.37,USD
POL0000222,4500032,S0035,PN00327,P300,SRC001031,2025-11-20,2025-12-01,2025-12-01,500,70.38,USD
POL0000223,4500032,S0049,PN00232,P500,SRC000723,2025-12-24,2026-02-07,2026-02-12,79,100.64,USD
POL0000224,4500032,S0041,PN00157,P300,SRC000472,2026-01-17,2026-03-04,2026-03-04,46,318.38,USD
POL0000225,4500033,S0025,PN00376,P100,SRC001169,2025-10-16,2025-12-18,2025-12-18,500,38.61,USD
POL0000226,4500033,S0022,PN00172,P100,SRC000518,2025-02-03,2025-03-07,2025-03-07,500,35.54,USD
POL0000227,4500033,S0050,PN00047,P600,SRC000134,2025-12-07,2026-02-20,2026-02-20,500,254.89,USD
POL0000228,4500033,S0051,PN00029,P600,SRC000085,2025-12-08,2026-01-25,2026-01-25,159,64.12,USD
POL0000229,4500033,S0005,PN00109,P600,SRC000320,2025-01-31,2025-02-11,2025-02-13,100,17.03,USD
POL0000230,4500033,S0029,PN00193,P300,SRC000590,2026-02-09,2026-03-26,2026-03-31,500,150.35,USD
POL0000231,4500033,S0049,PN00151,P400,SRC000451,2025-07-21,2025-08-26,2025-08-26,69,43.94,USD
POL0000232,4500034,S0024,PN00271,P200,SRC000848,2025-12-22,2026-02-02,2026-02-07,392,23.02,USD
POL0000233,4500034,S0003,PN00111,P300,SRC000328,2025-05-19,2025-07-28,2025-07-28,106,111.23,USD
POL0000234,4500034,S0037,PN00236,P100,SRC000736,2025-12-09,2026-01-30,2026-01-30,36,40.17,USD
POL0000235,4500034,S0057,PN00353,P100,SRC001092,2026-02-19,2026-05-01,2026-05-03,100,21.98,USD
POL0000236,4500034,S0005,PN00179,P200,SRC000536,2025-06-10,2025-07-10,2025-07-10,51,14.62,USD
POL0000237,4500034,S0032,PN00062,P100,SRC000188,2025-10-11,2025-12-05,2025-12-10,100,8.16,USD
POL0000238,4500034,S0031,PN00090,P600,SRC000272,2025-08-24,2025-10-30,2025-11-04,51,49.46,USD
POL0000239,4500035,S0043,PN00034,P200,SRC000100,2025-12-31,2026-01-12,2026-01-14,66,12.35,USD
