part_id,part_number,part_description,commodity,category,uom,abc_class,standard_cost,lifecycle_status
PN00192,DZ660324,Forging Module 192,Forgings,Powertrain,M,A,26.65,NEW
PN00193,AH214682,Sheet Metal Kit 193,Sheet Metal,Structures,EA,A,143.33,ACTIVE
PN00194,DZ211090,Fabrication Assy 194,Fabrications,Structures,EA,B,16.51,ACTIVE
PN00195,RE567432,Hose Unit 195,Hoses,Hydraulics,KG,B,45.54,ACTIVE
PN00196,AH606222,Sheet Metal Assy 196,Sheet Metal,Structures,EA,B,33.16,NEW
PN00197,AL427040,Forging Unit 197,Forgings,Powertrain,KG,C,272.14,ACTIVE
PN00198,DZ434400,Controller Assy 198,Controllers,Electrical,EA,A,30.79,ACTIVE
PN00199,RE876459,Casting Kit 199,Castings,Powertrain,M,A,181.57,ACTIVE
PN00200,DZ760351,Hose Kit 200,Hoses,Hydraulics,EA,C,26.19,ACTIVE
PN00201,AH838968,Casting Kit 201,Castings,Powertrain,EA,B,28.46,ACTIVE
PN00202,RE483561,Forging Unit 202,Forgings,Powertrain,EA,B,64.19,ACTIVE
PN00203,DZ741003,Valve Module 203,Valves,Hydraulics,M,A,37.78,ACTIVE
PN00204,AL744333,Valve Assy 204,Valves,Hydraulics,EA,B,97.61,ACTIVE
PN00205,DZ538555,Forging Kit 205,Forgings,Powertrain,M,B,5.62,ACTIVE
PN00206,RE681868,Fastener Kit 206,Fasteners,Structures,KG,B,73.2,ACTIVE
PN00207,AH608149,Valve Kit 207,Valves,Hydraulics,EA,C,151.91,NEW
PN00208,DZ535820,Hose Module 208,Hoses,Hydraulics,KG,A,51.65,ACTIVE
PN00209,AL276379,Harnesse Module 209,Harnesses,Electrical,M,C,20.25,ACTIVE
PN00210,AL912764,Hose Unit 210,Hoses,Hydraulics,M,C,34.58,ACTIVE
PN00211,DZ207391,Sheet Metal Kit 211,Sheet Metal,Structures,EA,C,29.12,ACTIVE
PN00212,DZ223088,Sensor Kit 212,Sensors,Electrical,EA,C,8.03,ACTIVE
PN00213,DZ274044,Controller Kit 213,Controllers,Electrical,EA,C,162.27,ACTIVE
PN00214,RE439375,Fabrication Unit 214,Fabrications,Structures,EA,C,23.2,NEW
PN00215,RE898462,Hose Module 215,Hoses,Hydraulics,KG,A,7.48,ACTIVE
PN00216,AH522419,Fastener Unit 216,Fasteners,Structures,EA,B,25.32,ACTIVE
PN00217,DZ765678,Fabrication Unit 217,Fabrications,Structures,EA,C,146.03,ACTIVE
PN00218,AL968581,Pump Unit 218,Pumps,Hydraulics,EA,C,99.77,ACTIVE
PN00219,AH230272,Valve Kit 219,Valves,Hydraulics,KG,B,124.66,NEW
PN00220,RE781571,Pump Unit 220,Pumps,Hydraulics,EA,C,6.42,ACTIVE
PN00221,AL796787,Forging Kit 221,Forgings,Powertrain,EA,B,47.17,ACTIVE
PN00222,AH837880,Sheet Metal Assy 222,Sheet Metal,Structures,EA,B,71.32,ACTIVE
PN00223,AH108454,Fabrication Unit 223,Fabrications,Structures,EA,C,7.63,ACTIVE
PN00224,AH866260,Bearing Assy 224,Bearings,Powertrain,EA,B,31.51,ACTIVE
PN00225,RE772741,Bearing Kit 225,Bearings,Powertrain,EA,C,11.27,ACTIVE
PN00226,RE758589,Fastener Kit 226,Fasteners,Structures,KG,C,13.62,ACTIVE
PN00227,DZ468611,Harnesse Module 227,Harnesses,Electrical,EA,C,95.12,ACTIVE
PN00228,AL916808,Fastener Assy 228,Fasteners,Structures,EA,B,6.71,ACTIVE
PN00229,AH921875,Harnesse Kit 229,Harnesses,Electrical,KG,B,60.56,ACTIVE
PN00230,AH478638,Fastener Unit 230,Fasteners,Structures,EA,B,46.6,ACTIVE
PN00231,DZ907788,Pump Assy 231,Pumps,Hydraulics,EA,C,15.99,ACTIVE
PN00232,DZ544150,Harnesse Module 232,Harnesses,Electrical,EA,C,90.55,ACTIVE
PN00233,RE947312,Bearing Kit 233,Bearings,Powertrain,M,B,19.04,ACTIVE
PN00234,DZ865416,Fastener Kit 234,Fasteners,Structures,EA,B,46.18,PHASE_OUT
PN00235,AL798435,Forging Kit 235,Forgings,Powertrain,EA,A,26.99,ACTIVE
PN00236,AL275073,Casting Unit 236,Castings,Powertrain,EA,C,39.72,ACTIVE
PN00237,AH620248,Sheet Metal Module 237,Sheet Metal,Structures,M,B,21.8,ACTIVE
PN00238,AH701790,Fabrication Assy 238,Fabrications,Structures,EA,C,16.81,ACTIVE
PN00239,DZ257375,Casting Kit 239,Castings,Powertrain,EA,C,14.45,PHASE_OUT
PN00240,RE536476,Sheet Metal Unit 240,Sheet Metal,Structures,EA,C,46.73,ACTIVE
PN00241,RE334026,Forging Assy 241,Forgings,Powertrain,KG,A,34.32,ACTIVE
PN00242,AH679958,Sensor Module 242,Sensors,Electrical,EA,B,65.42,ACTIVE
PN00243,AL720432,Sensor Module 243,Sensors,Electrical,EA,C,56.98,ACTIVE
PN00244,AH451291,Harnesse Assy 244,Harnesses,Electrical,KG,C,70.87,ACTIVE
PN00245,RE846221,Forging Unit 245,Forgings,Powertrain,EA,A,0.96,ACTIVE
PN00246,DZ884229,Hose Assy 246,Hoses,Hydraulics,M,A,7.94,ACTIVE
PN00247,DZ794622,Pump Kit 247,Pumps,Hydraulics,EA,B,6.12,ACTIVE
PN00248,AL574751,Pump Unit 248,Pumps,Hydraulics,EA,A,121.65,ACTIVE
PN00249,AH661957,Fabrication Unit 249,Fabrications,Structures,EA,B,29.19,ACTIVE
PN00250,AH325465,Forging Unit 250,Forgings,Powertrain,EA,A,10.62,ACTIVE
PN00251,AL372804,Controller Kit 251,Controllers,Electrical,EA,C,27.46,ACTIVE
PN00252,DZ206857,Hose Kit 252,Hoses,Hydraulics,EA,A,58.4,ACTIVE
PN00253,AH710610,Harnesse Unit 253,Harnesses,Electrical,EA,A,18.3,ACTIVE
PN00254,AL228479,Fastener Assy 254,Fasteners,Structures,KG,A,29.62,PHASE_OUT
PN00255,AH501320,Pump Module 255,Pumps,Hydraulics,EA,B,82.45,PHASE_OUT
PN00256,DZ677438,Sensor Module 256,Sensors,Electrical,EA,A,17.84,ACTIVE
PN00257,AH501078,Pump Unit 257,Pumps,Hydraulics,KG,C,37.34,ACTIVE
PN00258,RE127329,Fabrication Unit 258,Fabrications,Structures,M,B,33.34,ACTIVE
PN00259,RE267378,Sensor Assy 259,Sensors,Electrical,EA,C,41.12,ACTIVE
PN00260,RE284654,Sheet Metal Kit 260,Sheet Metal,Structures,M,B,73.02,ACTIVE
PN00261,RE977340,Controller Module 261,Controllers,Electrical,M,B,42.51,ACTIVE
PN00262,AH652021,Forging Module 262,Forgings,Powertrain,EA,B,4.9,ACTIVE
PN00263,AL162448,Bearing Assy 263,Bearings,Powertrain,EA,C,23.76,PHASE_OUT
PN00264,DZ714483,Forging Assy 264,Forgings,Powertrain,EA,B,116.9,ACTIVE
PN00265,DZ780714,Bearing Unit 265,Bearings,Powertrain,EA,C,67.21,ACTIVE
PN00266,RE496764,Fabrication Unit 266,Fabrications,Structures,EA,A,62.42,ACTIVE
PN00267,AH290926,Sheet Metal Unit 267,Sheet Metal,Structures,M,B,117.36,ACTIVE
PN00268,DZ111949,Valve Unit 268,Valves,Hydraulics,EA,B,271.88,ACTIVE
PN00269,AH504684,Sensor Module 269,Sensors,Electrical,KG,C,192.7,ACTIVE
PN00270,DZ206355,Valve Module 270,Valves,Hydraulics,M,C,90.88,ACTIVE
PN00271,AH409234,Bearing Assy 271,Bearings,Powertrain,EA,B,21.84,ACTIVE
PN00272,AH673619,Controller Assy 272,Controllers,Electrical,EA,C,13.38,ACTIVE
PN00273,RE736818,Valve Module 273,Valves,Hydraulics,EA,A,61.37,ACTIVE
PN00274,AL792687,Harnesse Unit 274,Harnesses,Electrical,EA,B,23.36,ACTIVE
PN00275,AH478356,Fabrication Assy 275,Fabrications,Structures,KG,A,39.15,ACTIVE
PN00276,AH317005,Fastener Kit 276,Fasteners,Structures,EA,C,41.05,ACTIVE
PN00277,DZ793150,Forging Unit 277,Forgings,Powertrain,EA,C,19.19,ACTIVE
PN00278,DZ146784,Controller Unit 278,Controllers,Electrical,KG,B,94.51,ACTIVE
PN00279,AH189870,Sensor Unit 279,Sensors,Electrical,M,B,37.71,ACTIVE
PN00280,DZ661527,Harnesse Module 280,Harnesses,Electrical,M,C,59.0,ACTIVE
PN00281,AH626491,Forging Kit 281,Forgings,Powertrain,EA,C,9.63,ACTIVE
PN00282,DZ311727,Bearing Kit 282,Bearings,Powertrain,M,B,10.89,PHASE_OUT
PN00283,AL998235,Forging Unit 283,Forgings,Powertrain,M,B,6.71,ACTIVE
PN00284,DZ217984,Sheet Metal Module 284,Sheet Metal,Structures,EA,A,51.53,ACTIVE
PN00285,AH923914,Forging Unit 285,Forgings,Powertrain,M,C,175.38,ACTIVE
PN00286,DZ139285,Sensor Kit 286,Sensors,Electrical,EA,B,22.42,ACTIVE
PN00287,AL824056,Fastener Kit 287,Fasteners,Structures,EA,C,46.79,PHASE_OUT
PN00288,DZ999924,Controller Assy 288,Controllers,Electrical,EA,A,20.71,NEW
PN00289,DZ734366,Valve Assy 289,Valves,Hydraulics,EA,B,66.17,PHASE_OUT
PN00290,AL960899,Pump Assy 290,Pumps,Hydraulics,M,C,184.69,ACTIVE
PN00291,AH282176,Sheet Metal Kit 291,Sheet Metal,Structures,EA,C,33.57,ACTIVE
PN00292,RE387286,Valve Unit 292,Valves,Hydraulics,KG,C,9.92,ACTIVE
PN00293,DZ722899,Forging Module 293,Forgings,Powertrain,EA,C,49.9,ACTIVE
PN00294,AL885342,Hose Assy 294,Hoses,Hydraulics,EA,A,24.33,ACTIVE
PN00295,RE778827,Fabrication Kit 295,Fabrications,Structures,EA,B,61.01,ACTIVE
PN00296,RE778818,Casting Kit 296,Castings,Powertrain,M,C,60.0,ACTIVE
PN00297,AL544393,Fabrication Module 297,Fabrications,Structures,EA,B,70.36,ACTIVE
PN00298,DZ712879,Sensor Assy 298,Sensors,Electrical,EA,C,186.84,ACTIVE
PN00299,AL412974,Controller Assy 299,Controllers,Electrical,KG,A,42.93,NEW
