customer_id,customer_name,customer_segment,customer_country,customer_region,channel
CU0068,Sunrise Dealers 68,DEALER,DE,EMEA,ONLINE
CU0069,Sunrise Equipment 69,DEALER,DE,EMEA,ONLINE
CU0070,Sunrise Machinery 70,RENTAL,IN,APAC,DIRECT
CU0071,Prairie Equipment 71,DEALER,BR,LATAM,DEALER_NETWORK
CU0072,Harvest Equipment 72,GOVERNMENT,DE,EMEA,DIRECT
CU0073,Green Valley Dealers 73,DEALER,CA,NA,DIRECT
CU0074,Riverbend Equipment 74,DEALER,FR,EMEA,DIRECT
CU0075,Riverbend Dealers 75,FLEET,US,NA,DIRECT
CU0076,Prairie Ag Supply 76,DEALER,AR,LATAM,DIRECT
CU0077,Harvest Equipment 77,DEALER,JP,APAC,DEALER_NETWORK
CU0078,Riverbend Equipment 78,DEALER,BR,LATAM,DIRECT
CU0079,Highland Machinery 79,GOVERNMENT,CN,APAC,DEALER_NETWORK
CU0080,Prairie Dealers 80,DEALER,DE,EMEA,DIRECT
CU0081,Sunrise Dealers 81,DEALER,US,NA,DEALER_NETWORK
CU0082,Green Valley Ag Supply 82,DEALER,IN,APAC,DEALER_NETWORK
CU0083,Harvest Ag Supply 83,DEALER,IN,APAC,DIRECT
CU0084,Harvest Machinery 84,DEALER,FR,EMEA,DEALER_NETWORK
CU0085,Sunrise Ag Supply 85,GOVERNMENT,CN,APAC,DEALER_NETWORK
CU0086,Riverbend Ag Supply 86,DEALER,PL,EMEA,DIRECT
CU0087,Sunrise Ag Supply 87,DEALER,CN,APAC,DEALER_NETWORK
CU0088,Green Valley Machinery 88,DEALER,CN,APAC,DEALER_NETWORK
CU0089,Prairie Equipment 89,DEALER,CA,NA,ONLINE
CU0090,Prairie Ag Supply 90,DEALER,MX,NA,DIRECT
CU0091,Riverbend Dealers 91,FLEET,US,NA,DEALER_NETWORK
CU0092,Riverbend Machinery 92,DEALER,BR,LATAM,DIRECT
CU0093,Prairie Equipment 93,RENTAL,BR,LATAM,DIRECT
CU0094,Prairie Dealers 94,GOVERNMENT,IN,APAC,DIRECT
CU0095,Highland Dealers 95,GOVERNMENT,CN,APAC,DEALER_NETWORK
CU0096,Riverbend Machinery 96,DEALER,US,NA,DEALER_NETWORK
CU0097,Prairie Ag Supply 97,RENTAL,FR,EMEA,DIRECT
CU0098,Green Valley Dealers 98,DEALER,BR,LATAM,DEALER_NETWORK
CU0099,Riverbend Ag Supply 99,DEALER,DE,EMEA,DEALER_NETWORK
CU0100,Prairie Machinery 100,FLEET,BR,LATAM,DEALER_NETWORK
CU0101,Prairie Ag Supply 101,FLEET,TR,EMEA,DEALER_NETWORK
CU0102,Harvest Ag Supply 102,DEALER,CN,APAC,DEALER_NETWORK
CU0103,Harvest Machinery 103,GOVERNMENT,PL,EMEA,DEALER_NETWORK
CU0104,Sunrise Machinery 104,FLEET,TH,APAC,DEALER_NETWORK
CU0105,Sunrise Machinery 105,DEALER,DE,EMEA,DEALER_NETWORK
CU0106,Prairie Equipment 106,RENTAL,TR,EMEA,DEALER_NETWORK
CU0107,Green Valley Machinery 107,DEALER,CN,APAC,ONLINE
CU0108,Harvest Equipment 108,FLEET,DE,EMEA,ONLINE
CU0109,Riverbend Ag Supply 109,DEALER,FR,EMEA,DEALER_NETWORK
CU0110,Green Valley Machinery 110,DEALER,MX,NA,DEALER_NETWORK
CU0111,Harvest Machinery 111,DEALER,DE,EMEA,DEALER_NETWORK
CU0112,Highland Equipment 112,FLEET,DE,EMEA,DEALER_NETWORK
CU0113,Sunrise Equipment 113,DEALER,MX,NA,DEALER_NETWORK
CU0114,Riverbend Dealers 114,DEALER,BR,LATAM,DIRECT
CU0115,Harvest Machinery 115,GOVERNMENT,AR,LATAM,DEALER_NETWORK
CU0116,Green Valley Equipment 116,FLEET,CA,NA,DEALER_NETWORK
CU0117,Harvest Equipment 117,DEALER,US,NA,DEALER_NETWORK
CU0118,Riverbend Ag Supply 118,DEALER,PL,EMEA,DEALER_NETWORK
CU0119,Sunrise Equipment 119,DEALER,TR,EMEA,DIRECT
CU0120,Green Valley Ag Supply 120,DEALER,TR,EMEA,DEALER_NETWORK
