snapshot_date,plant_id,part_id,qty_on_hand,unit_cost,avg_daily_demand_qty,safety_stock_qty
2025-01-31,P100,PN00174,25,7.89,0.4,5
2025-01-31,P100,PN00175,2,30.63,0.0889,1
2025-01-31,P100,PN00176,9,70.25,0.1222,1
2025-01-31,P100,PN00178,2,73.9,0.1,1
2025-01-31,P100,PN00179,11,14.93,0.5333,7
2025-01-31,P100,PN00180,18,23.39,0.3,4
2025-01-31,P100,PN00181,63,12.91,0.7889,11
2025-01-31,P100,PN00182,3,22.92,0.0667,0
2025-01-31,P100,PN00183,16,28.78,0.3556,4
2025-01-31,P100,PN00184,0,8.02,0.0222,0
2025-01-31,P100,PN00185,2,13.86,0.1,1
2025-01-31,P100,PN00186,11,70.61,0.1333,1
2025-01-31,P100,PN00187,0,15.94,0.0,0
2025-01-31,P100,PN00188,5,13.56,0.1667,2
2025-01-31,P100,PN00189,2,100.38,0.1111,1
2025-01-31,P100,PN00190,56,82.76,0.5556,7
2025-01-31,P100,PN00191,3,47.54,0.0444,0
2025-01-31,P100,PN00192,23,26.96,0.9889,13
2025-01-31,P100,PN00193,48,146.89,0.8667,12
2025-01-31,P100,PN00194,1,16.86,0.0778,1
2025-01-31,P100,PN00195,0,44.72,0.0,0
2025-01-31,P100,PN00196,3,34.24,0.0444,0
2025-01-31,P100,PN00197,2,277.11,0.2,2
2025-01-31,P100,PN00198,50,31.12,0.6333,8
2025-01-31,P100,PN00199,56,181.8,1.0556,14
2025-01-31,P100,PN00201,4,29.28,0.1333,1
2025-01-31,P100,PN00202,2,62.94,0.0556,0
2025-01-31,P100,PN00203,2,37.34,0.0556,0
2025-01-31,P100,PN00204,2,100.52,0.0778,1
2025-01-31,P100,PN00205,11,5.8,0.5222,7
2025-01-31,P100,PN00206,0,74.6,0.0,0
2025-01-31,P100,PN00207,0,156.49,0.0,0
2025-01-31,P100,PN00208,23,50.77,0.3889,5
2025-01-31,P100,PN00209,14,20.4,0.1778,2
2025-01-31,P100,PN00210,12,35.16,0.1889,2
2025-01-31,P100,PN00211,23,29.19,0.2333,3
2025-01-31,P100,PN00212,23,8.3,0.3556,4
2025-01-31,P100,PN00213,0,165.93,0.0,0
2025-01-31,P100,PN00215,0,7.53,0.0,0
2025-01-31,P100,PN00217,2,149.38,0.0444,0
2025-01-31,P100,PN00218,4,100.28,0.0889,1
2025-01-31,P100,PN00220,3,6.36,0.0444,0
2025-01-31,P100,PN00221,6,47.8,0.1,1
2025-01-31,P100,PN00222,9,73.23,0.1111,1
2025-01-31,P100,PN00223,19,7.77,0.4111,5
2025-01-31,P100,PN00226,54,13.66,0.5111,7
2025-01-31,P100,PN00227,1,97.16,0.0556,0
2025-01-31,P100,PN00229,4,60.97,0.0778,1
2025-01-31,P100,PN00231,14,15.83,0.2333,3
2025-01-31,P100,PN00232,10,92.84,0.3889,5
2025-01-31,P100,PN00233,8,18.72,0.1,1
2025-01-31,P100,PN00235,4,27.97,0.2556,3
2025-01-31,P100,PN00237,5,21.51,0.0667,0
2025-01-31,P100,PN00239,7,14.73,0.2444,3
2025-01-31,P100,PN00240,4,46.88,0.0667,0
2025-01-31,P100,PN00241,50,35.36,1.1889,16
2025-01-31,P100,PN00242,11,67.77,0.3778,5
2025-01-31,P100,PN00243,19,57.54,0.5889,8
2025-01-31,P100,PN00244,13,72.45,0.2667,3
2025-01-31,P100,PN00245,5,0.95,0.1667,2
2025-01-31,P100,PN00247,0,6.27,0.0,0
2025-01-31,P100,PN00249,0,29.01,0.0,0
2025-01-31,P100,PN00250,0,10.99,0.0,0
2025-01-31,P100,PN00253,9,18.28,0.2333,3
2025-01-31,P100,PN00255,6,85.55,0.2556,3
2025-01-31,P100,PN00257,0,36.83,0.0,0
2025-01-31,P100,PN00258,2,34.04,0.0889,1
2025-01-31,P100,PN00260,20,74.11,0.6667,9
2025-01-31,P100,PN00261,3,41.78,0.0556,0
2025-01-31,P100,PN00262,12,4.93,0.7,9
2025-01-31,P100,PN00263,0,24.61,0.0,0
2025-01-31,P100,PN00264,116,119.74,1.0222,14
2025-01-31,P100,PN00265,33,67.7,0.4444,6
2025-01-31,P100,PN00266,6,61.54,0.2111,2
2025-01-31,P100,PN00268,19,270.0,0.2556,3
2025-01-31,P100,PN00272,8,13.39,0.1444,2
2025-01-31,P100,PN00273,0,62.05,0.0,0
2025-01-31,P100,PN00274,0,23.94,0.0111,0
2025-01-31,P100,PN00275,0,40.67,0.0,0
2025-01-31,P100,PN00276,13,42.51,0.3,4
2025-01-31,P100,PN00277,325,19.81,4.3667,61
2025-01-31,P100,PN00278,8,93.84,0.2,2
2025-01-31,P100,PN00279,11,37.37,0.4333,6
2025-01-31,P100,PN00280,10,60.01,0.1667,2
2025-01-31,P100,PN00281,28,9.96,0.5667,7
2025-01-31,P100,PN00283,3,6.73,0.1111,1
2025-01-31,P100,PN00284,0,50.75,0.0,0
2025-01-31,P100,PN00285,0,173.08,0.0,0
2025-01-31,P100,PN00286,9,23.13,0.3333,4
2025-01-31,P100,PN00287,4,47.18,0.0667,0
2025-01-31,P100,PN00288,14,21.27,0.1889,2
2025-01-31,P100,PN00290,17,186.71,0.3111,4
2025-01-31,P100,PN00291,15,33.41,0.5111,7
2025-01-31,P100,PN00292,1,10.07,0.0333,0
2025-01-31,P100,PN00293,18,50.22,0.7111,9
2025-01-31,P100,PN00294,36,24.77,1.1889,16
2025-01-31,P100,PN00295,3,62.88,0.0667,0
2025-01-31,P100,PN00296,0,60.41,0.0444,0
2025-01-31,P100,PN00297,1,72.28,0.0444,0
2025-01-31,P100,PN00298,0,190.25,0.0,0
2025-01-31,P100,PN00299,10,43.81,0.3889,5
2025-01-31,P100,PN00300,8,22.44,0.1889,2
2025-01-31,P100,PN00301,15,26.71,0.2,2
2025-01-31,P100,PN00302,3,17.99,0.2111,2
2025-01-31,P100,PN00303,0,24.32,0.0,0
2025-01-31,P100,PN00304,38,80.07,0.5222,7
2025-01-31,P100,PN00305,0,10.03,0.0111,0
2025-01-31,P100,PN00306,0,446.66,0.0,0
2025-01-31,P100,PN00307,65,23.49,0.8889,12
2025-01-31,P100,PN00308,3,24.05,0.2222,3
2025-01-31,P100,PN00309,2,10.61,0.0556,0
2025-01-31,P100,PN00310,66,34.98,0.9222,12
2025-01-31,P100,PN00311,2,8.7,0.0667,0
2025-01-31,P100,PN00313,0,33.06,0.0,0
2025-01-31,P100,PN00314,11,76.67,0.4556,6
2025-01-31,P100,PN00315,3,32.07,0.2222,3
2025-01-31,P100,PN00316,6,59.36,0.1778,2
2025-01-31,P100,PN00317,1,79.17,0.0333,0
2025-01-31,P100,PN00318,11,63.77,0.1222,1
2025-01-31,P100,PN00319,20,27.1,0.4889,6
2025-01-31,P100,PN00320,4,21.43,0.0667,0
2025-01-31,P100,PN00321,5,5.85,0.1111,1
2025-01-31,P100,PN00322,11,62.92,0.3333,4
2025-01-31,P100,PN00323,0,146.38,0.0222,0
2025-01-31,P100,PN00324,9,23.9,0.2444,3
2025-01-31,P100,PN00325,2,28.05,0.0444,0
2025-01-31,P100,PN00326,12,46.32,0.1889,2
2025-01-31,P100,PN00327,0,73.87,0.0,0
2025-01-31,P100,PN00328,24,8.19,0.2556,3
2025-01-31,P100,PN00329,5,27.4,0.0667,0
2025-01-31,P100,PN00331,14,17.22,0.2778,3
2025-01-31,P100,PN00332,4,79.36,0.3,4
2025-01-31,P100,PN00333,2,8.88,0.0556,0
2025-01-31,P100,PN00334,35,293.06,0.6889,9
2025-01-31,P100,PN00335,0,14.57,0.0,0
2025-01-31,P100,PN00336,0,9.7,0.0,0
2025-01-31,P100,PN00337,22,48.57,0.2889,4
2025-01-31,P100,PN00339,8,7.17,0.2333,3
2025-01-31,P100,PN00340,0,105.43,0.0889,1
2025-01-31,P100,PN00341,19,12.21,0.3,4
2025-01-31,P100,PN00342,19,34.41,0.6333,8
2025-01-31,P100,PN00343,27,49.64,0.2889,4
2025-01-31,P100,PN00344,3,83.84,0.0333,0
2025-01-31,P100,PN00345,13,16.15,0.3556,4
2025-01-31,P100,PN00346,0,90.95,0.0,0
2025-01-31,P100,PN00347,7,17.36,0.2222,3
2025-01-31,P100,PN00348,3,41.0,0.0889,1
2025-01-31,P100,PN00349,19,116.21,0.6,8
2025-01-31,P100,PN00350,34,167.22,0.7778,10
2025-01-31,P100,PN00351,23,21.36,0.4667,6
2025-01-31,P100,PN00352,0,12.26,0.0,0
2025-01-31,P100,PN00353,5,21.65,0.2111,2
2025-01-31,P100,PN00354,19,12.32,0.4778,6
2025-01-31,P100,PN00355,11,38.72,0.1667,2
2025-01-31,P100,PN00357,12,20.7,0.1667,2
2025-01-31,P100,PN00358,3,40.29,0.1222,1
2025-01-31,P100,PN00359,2,66.72,0.0667,0
2025-01-31,P100,PN00360,0,16.07,0.0,0
2025-01-31,P100,PN00361,2,42.09,0.1111,1
2025-01-31,P100,PN00363,28,38.81,0.7778,10
2025-01-31,P100,PN00365,3,26.92,0.0556,0
2025-01-31,P100,PN00366,0,14.8,0.0,0
2025-01-31,P100,PN00367,0,19.63,0.0,0
2025-01-31,P100,PN00368,0,12.39,0.0,0
2025-01-31,P100,PN00369,74,32.99,1.6,22
2025-01-31,P100,PN00370,0,27.41,0.0222,0
2025-01-31,P100,PN00371,4,34.49,0.1,1
2025-01-31,P100,PN00374,1,101.92,0.0333,0
2025-01-31,P100,PN00375,12,7.27,0.5111,7
2025-01-31,P100,PN00376,9,34.4,0.2778,3
2025-01-31,P100,PN00377,0,106.87,0.0111,0
2025-01-31,P100,PN00378,15,51.25,0.3333,4
2025-01-31,P100,PN00380,8,42.36,0.1667,2
2025-01-31,P100,PN00381,1,49.29,0.0333,0
2025-01-31,P100,PN00382,9,70.03,0.3222,4
2025-01-31,P100,PN00383,9,34.69,0.3444,4
2025-01-31,P100,PN00384,0,34.61,0.0,0
2025-01-31,P100,PN00385,0,133.34,0.0111,0
2025-01-31,P100,PN00386,33,57.07,0.5778,8
2025-01-31,P100,PN00387,0,9.0,0.0,0
2025-01-31,P100,PN00388,10,28.22,0.2556,3
2025-01-31,P100,PN00389,39,79.53,0.7,9
2025-01-31,P100,PN00390,0,45.76,0.0,0
2025-01-31,P100,PN00391,7,20.4,0.3667,5
2025-01-31,P100,PN00392,1,14.31,0.0333,0
2025-01-31,P100,PN00393,7,62.09,0.2222,3
2025-01-31,P100,PN00395,1,115.23,0.1,1
2025-01-31,P100,PN00396,1,35.4,0.0222,0
2025-01-31,P100,PN00397,4,12.63,0.2667,3
2025-01-31,P100,PN00398,4,46.22,0.1333,1
2025-01-31,P100,PN00399,4,39.67,0.0778,1
2025-01-31,P100,PN00400,9,51.22,0.2,2
2025-01-31,P200,PN00001,4,32.19,0.1333,1
2025-01-31,P200,PN00002,3,34.39,0.0667,0
2025-01-31,P200,PN00003,5,54.6,0.1111,1
2025-01-31,P200,PN00004,19,44.83,0.2222,3
2025-01-31,P200,PN00005,12,6.24,0.5333,7
2025-01-31,P200,PN00006,5,64.88,0.1444,2
2025-01-31,P200,PN00007,5,49.84,0.1222,1
2025-01-31,P200,PN00008,2,150.34,0.1556,2
2025-01-31,P200,PN00009,12,32.99,0.2,2
2025-01-31,P200,PN00010,9,77.65,0.2778,3
2025-01-31,P200,PN00011,4,57.96,0.1556,2
2025-01-31,P200,PN00012,0,41.55,0.0,0
2025-01-31,P200,PN00014,1,14.79,0.1667,2
2025-01-31,P200,PN00015,2,34.3,0.0778,1
2025-01-31,P200,PN00016,7,132.3,0.1444,2
2025-01-31,P200,PN00017,13,34.87,0.3,4
2025-01-31,P200,PN00018,47,14.35,0.8556,11
2025-01-31,P200,PN00019,34,21.02,0.5444,7
2025-01-31,P200,PN00020,10,12.53,0.2889,4
2025-01-31,P200,PN00021,22,23.85,0.3,4
2025-01-31,P200,PN00022,21,125.94,0.4778,6
2025-01-31,P200,PN00023,23,3.12,0.2667,3
2025-01-31,P200,PN00024,7,36.61,0.2444,3
2025-01-31,P200,PN00025,1,20.04,0.0556,0
2025-01-31,P200,PN00026,5,1.46,0.1333,1
2025-01-31,P200,PN00028,1,23.9,0.1,1
2025-01-31,P200,PN00029,0,63.96,0.0,0
2025-01-31,P200,PN00030,1,119.74,0.0778,1
2025-01-31,P200,PN00031,40,72.69,0.7667,10
2025-01-31,P200,PN00033,12,45.05,0.2556,3
2025-01-31,P200,PN00034,19,11.62,0.6556,9
2025-01-31,P200,PN00035,16,14.04,0.3333,4
2025-01-31,P200,PN00036,4,47.81,0.0667,0
2025-01-31,P200,PN00037,0,18.4,0.0222,0
2025-01-31,P200,PN00038,7,25.64,0.1333,1
2025-01-31,P200,PN00039,4,62.73,0.1111,1
2025-01-31,P200,PN00040,3,30.82,0.0667,0
2025-01-31,P200,PN00041,3,20.98,0.1333,1
2025-01-31,P200,PN00043,0,92.7,0.0,0
2025-01-31,P200,PN00044,47,14.22,0.7778,10
2025-01-31,P200,PN00045,4,19.34,0.0778,1
2025-01-31,P200,PN00046,0,9.59,0.0,0
2025-01-31,P200,PN00047,13,234.46,0.5222,7
2025-01-31,P200,PN00048,0,13.6,0.0,0
2025-01-31,P200,PN00049,0,18.09,0.0,0
2025-01-31,P200,PN00050,2,58.44,0.0556,0
2025-01-31,P200,PN00053,0,94.57,0.0,0
2025-01-31,P200,PN00054,14,12.17,0.3333,4
2025-01-31,P200,PN00055,10,5.0,0.3111,4
2025-01-31,P200,PN00056,16,27.83,0.2778,3
2025-01-31,P200,PN00057,0,299.87,0.0111,0
2025-01-31,P200,PN00058,21,18.42,0.4111,5
2025-01-31,P200,PN00059,9,12.8,0.1667,2
2025-01-31,P200,PN00060,22,65.29,0.5,7
2025-01-31,P200,PN00061,5,23.91,0.1,1
2025-01-31,P200,PN00063,48,99.25,0.9667,13
2025-01-31,P200,PN00064,0,10.5,0.0,0
2025-01-31,P200,PN00065,21,25.26,0.4889,6
2025-01-31,P200,PN00066,4,18.87,0.1222,1
2025-01-31,P200,PN00067,6,8.5,0.2222,3
2025-01-31,P200,PN00068,0,144.79,0.0,0
2025-01-31,P200,PN00069,3,26.96,0.0889,1
2025-01-31,P200,PN00071,23,44.74,0.7111,9
2025-01-31,P200,PN00072,8,51.71,0.2444,3
2025-01-31,P200,PN00073,20,103.04,0.8,11
2025-01-31,P200,PN00075,11,18.27,0.2111,2
2025-01-31,P200,PN00076,0,4.5,0.0,0
2025-01-31,P200,PN00077,11,24.24,0.3111,4
2025-01-31,P200,PN00079,3,21.02,0.0778,1
2025-01-31,P200,PN00080,1,33.85,0.0667,0
2025-01-31,P200,PN00081,4,6.49,0.1222,1
2025-01-31,P200,PN00082,67,5.6,0.9333,13
2025-01-31,P200,PN00083,18,248.97,0.2333,3
2025-01-31,P200,PN00084,0,159.29,0.0222,0
2025-01-31,P200,PN00085,5,61.38,0.1333,1
2025-01-31,P200,PN00086,14,75.84,0.1778,2
2025-01-31,P200,PN00090,21,45.47,0.7778,10
2025-01-31,P200,PN00091,13,31.31,0.3778,5
2025-01-31,P200,PN00093,0,6.89,0.0,0
2025-01-31,P200,PN00094,57,63.17,0.8778,12
2025-01-31,P200,PN00095,27,12.79,0.9556,13
2025-01-31,P200,PN00096,0,80.37,0.0111,0
2025-01-31,P200,PN00097,21,380.55,0.3,4
2025-01-31,P200,PN00098,1,84.06,0.0667,0
2025-01-31,P200,PN00099,0,23.58,0.0,0
2025-01-31,P200,PN00101,0,53.76,0.0333,0
2025-01-31,P200,PN00102,4,4.45,0.0778,1
2025-01-31,P200,PN00104,19,13.35,0.4111,5
2025-01-31,P200,PN00106,35,134.26,0.5889,8
2025-01-31,P200,PN00107,0,74.47,0.0,0
2025-01-31,P200,PN00108,10,13.71,0.1556,2
2025-01-31,P200,PN00109,3,18.15,0.1111,1
2025-01-31,P200,PN00111,15,110.49,0.2111,2
2025-01-31,P200,PN00112,0,10.33,0.0,0
2025-01-31,P200,PN00113,13,48.47,0.2556,3
2025-01-31,P200,PN00115,2,154.61,0.0667,0
2025-01-31,P200,PN00116,0,31.8,0.0,0
2025-01-31,P200,PN00117,0,34.06,0.0111,0
2025-01-31,P200,PN00119,4,80.42,0.1333,1
2025-01-31,P200,PN00120,0,29.88,0.0,0
2025-01-31,P200,PN00121,19,51.46,0.2667,3
2025-01-31,P200,PN00122,0,66.86,0.0,0
2025-01-31,P200,PN00123,76,27.5,2.0444,28
2025-01-31,P200,PN00124,3,11.84,0.1778,2
2025-01-31,P200,PN00126,39,45.42,0.4,5
2025-01-31,P200,PN00127,2,10.88,0.0778,1
2025-01-31,P200,PN00128,6,55.42,0.1333,1
2025-01-31,P200,PN00129,11,10.22,0.3556,4
2025-01-31,P200,PN00130,16,15.66,0.5222,7
2025-01-31,P200,PN00132,5,20.94,0.2111,2
2025-01-31,P200,PN00133,7,21.59,0.2222,3
2025-01-31,P200,PN00134,10,96.82,0.1333,1
2025-01-31,P200,PN00135,19,56.78,0.8778,12
2025-01-31,P200,PN00138,2,5.74,0.1667,2
2025-01-31,P200,PN00140,35,38.68,0.3667,5
2025-01-31,P200,PN00141,6,105.0,0.1778,2
2025-01-31,P200,PN00142,4,57.96,0.0778,1
2025-01-31,P200,PN00143,1,18.27,0.0556,0
2025-01-31,P200,PN00144,4,101.07,0.1667,2
2025-01-31,P200,PN00145,15,5.3,0.2222,3
2025-01-31,P200,PN00146,19,32.07,0.5667,7
2025-01-31,P200,PN00147,5,73.63,0.0778,1
2025-01-31,P200,PN00149,11,39.47,0.2333,3
2025-01-31,P200,PN00150,4,8.05,0.2778,3
2025-01-31,P200,PN00151,0,38.46,0.0,0
2025-01-31,P200,PN00153,21,119.74,0.2333,3
2025-01-31,P200,PN00154,2,26.36,0.0556,0
2025-01-31,P200,PN00155,0,38.81,0.0222,0
2025-01-31,P200,PN00156,47,70.11,0.7111,9
2025-01-31,P200,PN00157,8,327.62,0.5111,7
2025-01-31,P200,PN00160,18,135.79,0.5444,7
2025-01-31,P200,PN00162,0,36.83,0.0111,0
2025-01-31,P200,PN00163,1,16.33,0.0556,0
2025-01-31,P200,PN00164,10,18.33,0.2556,3
2025-01-31,P200,PN00165,0,162.26,0.0,0
2025-01-31,P200,PN00166,5,34.83,0.0778,1
2025-01-31,P200,PN00169,6,4.35,0.1889,2
2025-01-31,P200,PN00170,43,6.24,0.8111,11
2025-01-31,P200,PN00172,5,36.04,0.1111,1
2025-01-31,P200,PN00173,10,11.09,0.2556,3
2025-01-31,P200,PN00174,8,7.73,0.1222,1
2025-01-31,P200,PN00175,30,29.58,0.4556,6
2025-01-31,P200,PN00176,46,71.35,1.2333,17
2025-01-31,P200,PN00177,44,15.05,2.6,36
2025-01-31,P200,PN00178,20,70.26,0.2111,2
2025-01-31,P200,PN00179,49,14.85,1.3222,18
2025-01-31,P200,PN00180,0,22.56,0.0,0
2025-01-31,P200,PN00181,41,13.08,0.8111,11
2025-01-31,P200,PN00182,13,22.87,0.2444,3
2025-01-31,P200,PN00183,0,28.06,0.0111,0
2025-01-31,P200,PN00184,9,8.22,0.2667,3
2025-01-31,P200,PN00185,1,13.79,0.0444,0
2025-01-31,P200,PN00186,10,71.43,0.1778,2
2025-01-31,P200,PN00187,6,15.48,0.1333,1
2025-01-31,P200,PN00188,6,13.51,0.0667,0
2025-01-31,P200,PN00189,17,98.57,0.4333,6
