shipment_id,po_line_id,carrier_id,ship_date,delivery_date,qty_shipped,qty_received,qty_rejected,freight_cost,duty_cost,insurance_cost,handling_cost,status
SH8000028,POL0000025,C06,2026-04-14,2026-05-14,29,29,0,65.12,4.87,1.54,107.48,RECEIVED
SH8000029,POL0000026,C04,2025-07-28,2025-07-31,166,166,0,102.28,0.0,14.61,81.93,RECEIVED
SH8000030,POL0000027,C02,2025-05-21,2025-06-22,86,85,1,38.79,11.9,2.82,15.55,RECEIVED
SH8000031,POL0000028,C04,2025-10-31,2025-11-05,118,118,0,114.34,97.73,9.14,109.47,RECEIVED
SH8000032,POL0000028,C07,2025-11-11,2025-11-15,74,74,0,34.74,13.43,5.73,97.15,RECEIVED
SH8000033,POL0000029,C01,2025-04-21,2025-05-03,100,100,0,470.98,123.32,26.04,45.25,RECEIVED
SH8000034,POL0000030,C03,2025-06-28,2025-07-23,294,294,0,125.13,8.19,8.46,59.25,RECEIVED
SH8000035,POL0000031,C05,2026-05-17,2026-05-29,29,29,0,11.56,17.08,0.74,18.71,RECEIVED
SH8000036,POL0000031,C01,2026-05-24,2026-06-14,21,21,0,9.86,7.73,0.54,28.59,RECEIVED
SH8000037,POL0000032,C07,2025-02-28,2025-03-02,500,490,10,1017.95,0.0,95.22,86.78,RECEIVED
SH8000038,POL0000033,C03,2025-10-03,2025-10-16,500,500,0,2809.89,2814.52,273.42,111.4,RECEIVED
SH8000039,POL0000034,C02,2025-03-26,2025-04-26,50,50,0,153.99,45.1,5.32,47.98,RECEIVED
SH8000040,POL0000035,C03,2026-05-05,2026-05-22,59,59,0,77.57,108.22,4.2,61.57,RECEIVED
SH8000041,POL0000036,C04,2025-08-06,2025-08-13,100,100,0,166.48,199.32,10.68,44.38,RECEIVED
SH8000042,POL0000037,C06,2025-04-04,2025-04-20,500,500,0,485.65,337.38,11.8,17.24,RECEIVED
SH8000043,POL0000038,C04,2025-07-21,2025-08-05,500,500,0,88.51,96.41,15.62,34.36,RECEIVED
SH8000044,POL0000039,C07,2025-02-18,2025-03-06,152,152,0,128.19,232.45,8.95,97.17,RECEIVED
SH8000045,POL0000040,C07,2026-02-10,2026-02-16,112,112,0,149.36,56.98,11.68,55.04,RECEIVED
SH8000046,POL0000040,C03,2026-02-22,2026-02-27,119,116,3,164.17,14.02,12.1,43.8,RECEIVED
SH8000047,POL0000041,C05,2025-07-13,2025-07-27,100,100,0,359.48,76.42,43.48,113.58,RECEIVED
SH8000048,POL0000042,C02,2025-12-09,2025-12-17,500,500,0,4509.02,1964.39,99.82,39.43,RECEIVED
SH8000049,POL0000043,C01,2025-04-18,2025-04-27,500,500,0,1046.83,1774.49,68.98,52.1,RECEIVED
SH8000050,POL0000044,C06,2025-11-10,2025-11-13,71,71,0,94.96,65.08,3.38,106.96,RECEIVED
SH8000051,POL0000045,C01,2025-07-01,2025-07-07,163,163,0,130.56,125.63,19.8,47.88,RECEIVED
SH8000052,POL0000046,C06,2026-01-31,2026-02-08,500,500,0,330.14,49.59,21.38,113.23,RECEIVED
SH8000053,POL0000047,C05,2025-11-01,2025-11-20,176,176,0,210.15,146.11,18.09,102.78,RECEIVED
SH8000054,POL0000048,C04,2025-05-14,2025-05-20,500,500,0,997.77,1010.34,95.68,68.09,RECEIVED
SH8000055,POL0000049,C05,2025-12-25,2026-01-13,116,112,4,59.48,57.49,6.68,47.95,RECEIVED
SH8000056,POL0000050,C04,2025-08-15,2025-08-20,80,80,0,66.74,0.0,4.13,28.27,RECEIVED
SH8000057,POL0000050,C04,2025-08-18,2025-08-20,120,120,0,115.13,0.0,6.2,52.21,RECEIVED
SH8000058,POL0000051,C03,2025-11-14,2025-11-23,72,72,0,92.41,131.16,4.8,81.24,RECEIVED
SH8000059,POL0000051,C02,2025-11-12,2025-11-24,53,53,0,141.38,76.73,3.53,76.9,RECEIVED
SH8000060,POL0000052,C01,2025-09-21,2025-09-24,133,133,0,295.36,515.21,34.81,20.07,RECEIVED
SH8000061,POL0000053,C06,2025-11-15,2025-11-26,105,105,0,432.18,329.93,21.18,75.39,RECEIVED
SH8000062,POL0000054,C07,2025-03-03,2025-03-09,64,64,0,118.63,0.0,18.0,39.33,RECEIVED
SH8000063,POL0000055,C03,2025-02-25,2025-03-01,104,104,0,257.64,230.81,13.47,91.87,RECEIVED
SH8000064,POL0000056,C03,2026-03-17,2026-03-24,500,499,1,791.11,0.0,46.39,93.15,RECEIVED
SH8000065,POL0000057,C01,2025-02-13,2025-02-16,100,100,0,154.84,376.6,13.46,98.39,RECEIVED
SH8000066,POL0000058,C02,2026-04-01,2026-04-13,548,548,0,739.78,155.96,19.6,30.9,RECEIVED
SH8000067,POL0000059,C05,2026-02-13,2026-02-28,65,65,0,60.46,39.75,7.44,58.91,RECEIVED
SH8000068,POL0000059,C03,2026-02-10,2026-02-27,35,35,0,70.54,105.15,4.01,85.14,RECEIVED
SH8000069,POL0000060,C04,2025-12-27,2026-01-11,120,120,0,170.93,343.78,17.3,27.16,RECEIVED
SH8000070,POL0000061,C04,2025-08-03,2025-09-02,326,325,1,107.06,419.3,18.11,42.47,RECEIVED
SH8000071,POL0000061,C03,2025-07-24,2025-08-26,174,174,0,181.16,78.04,9.7,91.46,RECEIVED
SH8000072,POL0000062,C05,2026-03-04,2026-03-06,57,57,0,13.92,25.41,1.4,17.09,RECEIVED
SH8000073,POL0000063,C06,2026-02-25,2026-03-02,111,111,0,61.27,0.0,2.9,99.13,RECEIVED
SH8000074,POL0000064,C04,2025-08-06,2025-08-20,100,100,0,39.21,59.11,6.96,17.55,RECEIVED
SH8000075,POL0000065,C06,2026-02-15,2026-03-03,179,179,0,811.41,246.08,19.75,16.55,RECEIVED
SH8000076,POL0000066,C03,2025-12-28,2026-01-17,100,100,0,173.87,116.03,19.08,42.75,RECEIVED
SH8000077,POL0000067,C03,2025-10-14,2025-11-08,100,100,0,228.26,297.64,13.88,62.49,RECEIVED
SH8000078,POL0000068,C01,2025-01-21,2025-01-25,500,500,0,1609.33,0.0,119.98,36.81,RECEIVED
SH8000079,POL0000069,C04,2025-12-30,2026-01-13,100,100,0,430.55,451.22,44.52,30.81,RECEIVED
SH8000080,POL0000070,C04,2025-11-02,2025-11-06,500,500,0,608.61,1232.85,47.86,119.24,RECEIVED
SH8000081,POL0000071,C01,2025-03-06,2025-03-09,139,139,0,39.63,0.0,7.09,59.54,RECEIVED
SH8000082,POL0000072,C06,2026-03-18,2026-04-12,83,83,0,1090.87,465.46,48.13,108.4,RECEIVED
SH8000083,POL0000073,C06,2025-05-10,2025-06-02,51,51,0,96.14,62.23,2.43,29.21,RECEIVED
SH8000084,POL0000073,C02,2025-05-19,2025-06-02,49,49,0,70.48,69.68,2.34,15.59,RECEIVED
SH8000085,POL0000074,C03,2025-04-22,2025-04-28,100,100,0,115.8,223.36,8.02,43.83,RECEIVED
SH8000086,POL0000075,C02,2026-05-02,2026-05-29,106,105,1,685.19,94.06,30.64,98.67,RECEIVED
SH8000087,POL0000076,C02,2026-03-13,2026-03-31,32,32,0,32.85,18.13,2.61,37.73,RECEIVED
SH8000088,POL0000077,C04,2025-12-04,2025-12-20,100,100,0,142.57,216.04,14.39,27.32,RECEIVED
SH8000089,POL0000078,C06,2025-08-20,2025-09-19,500,500,0,675.66,329.5,15.44,103.19,RECEIVED
SH8000090,POL0000079,C03,2025-10-07,2025-10-31,160,160,0,72.37,29.14,4.54,73.78,RECEIVED
SH8000091,POL0000080,C01,2025-05-25,2025-06-05,100,100,0,437.75,644.33,23.45,67.79,RECEIVED
SH8000092,POL0000081,C07,2025-06-26,2025-07-31,96,96,0,319.32,285.99,20.25,78.79,RECEIVED
SH8000093,POL0000081,C07,2025-07-07,2025-07-31,62,62,0,172.41,40.76,13.08,53.8,RECEIVED
SH8000094,POL0000082,C03,2026-02-16,2026-03-10,126,126,0,218.54,552.0,33.82,118.26,RECEIVED
SH8000095,POL0000083,C01,2025-12-18,2025-12-30,225,221,4,116.56,482.9,19.51,67.66,RECEIVED
SH8000096,POL0000083,C06,2025-12-10,2025-12-23,275,274,1,1066.23,682.91,24.19,47.67,RECEIVED
SH8000097,POL0000084,C06,2025-04-13,2025-04-24,213,213,0,1292.5,610.26,26.53,97.82,RECEIVED
SH8000098,POL0000084,C02,2025-04-04,2025-04-21,287,287,0,859.46,730.23,35.75,113.98,RECEIVED
SH8000099,POL0000085,C06,2026-02-28,2026-03-15,59,57,2,74.15,7.09,2.56,52.29,RECEIVED
SH8000100,POL0000086,C06,2026-03-31,2026-04-18,74,74,0,771.19,519.5,26.81,86.61,RECEIVED
SH8000101,POL0000087,C02,2025-08-09,2025-08-29,118,118,0,240.19,77.52,8.0,74.2,RECEIVED
SH8000102,POL0000088,C02,2025-03-07,2025-03-28,189,189,0,1518.11,298.41,32.48,64.02,RECEIVED
SH8000103,POL0000089,C03,2025-02-15,2025-02-26,196,196,0,40.97,40.29,3.35,19.21,RECEIVED
SH8000104,POL0000090,C05,2025-05-30,2025-06-12,100,100,0,287.35,417.27,14.75,35.84,RECEIVED
SH8000105,POL0000091,C03,2026-02-13,2026-02-20,49,49,0,55.3,0.0,5.75,34.38,RECEIVED
SH8000106,POL0000091,C05,2026-02-06,2026-02-14,51,51,0,91.62,0.0,5.99,88.37,RECEIVED
SH8000107,POL0000092,C03,2026-01-04,2026-01-14,423,423,0,1134.65,1437.35,65.6,59.58,RECEIVED
SH8000108,POL0000093,C07,2025-02-21,2025-02-27,84,84,0,230.2,823.63,45.82,56.81,RECEIVED
SH8000109,POL0000094,C07,2025-06-11,2025-07-01,90,90,0,45.02,165.09,6.83,51.36,RECEIVED
SH8000110,POL0000095,C03,2025-12-13,2025-12-17,100,100,0,100.37,0.0,8.82,92.92,RECEIVED
SH8000111,POL0000096,C07,2026-03-08,2026-03-13,91,91,0,51.7,97.33,4.81,30.79,RECEIVED
SH8000112,POL0000097,C03,2026-02-23,2026-03-10,265,265,0,34.81,108.82,6.05,53.78,RECEIVED
SH8000113,POL0000097,C05,2026-02-17,2026-03-08,235,235,0,48.35,47.22,5.37,58.79,RECEIVED
SH8000114,POL0000098,C03,2025-06-28,2025-07-12,500,499,1,524.03,553.25,26.77,40.63,RECEIVED
SH8000115,POL0000099,C04,2026-03-28,2026-04-09,99,99,0,157.53,270.17,12.41,50.47,RECEIVED
SH8000116,POL0000100,C01,2025-07-17,2025-08-19,100,100,0,69.65,70.56,4.12,119.47,RECEIVED
SH8000117,POL0000101,C02,2025-10-15,2025-10-20,119,118,1,1292.87,0.0,34.08,43.63,RECEIVED
SH8000118,POL0000102,C06,2025-03-03,2025-03-20,121,120,1,308.47,120.59,8.73,59.18,RECEIVED
SH8000119,POL0000103,C05,2025-11-07,2025-12-01,500,500,0,819.69,1070.05,53.0,41.85,RECEIVED
SH8000120,POL0000104,C02,2026-03-24,2026-03-27,52,52,0,867.95,120.82,24.16,51.92,RECEIVED
SH8000121,POL0000104,C07,2026-03-24,2026-03-28,50,49,1,155.97,270.24,22.76,37.19,RECEIVED
SH8000122,POL0000105,C06,2025-06-29,2025-07-14,48,48,0,146.18,33.94,3.56,71.24,RECEIVED
SH8000123,POL0000105,C07,2025-06-24,2025-07-07,52,52,0,72.76,18.16,3.86,106.7,RECEIVED
SH8000124,POL0000106,C04,2025-02-20,2025-03-21,607,607,0,705.79,78.5,90.1,38.54,RECEIVED
SH8000125,POL0000107,C03,2025-10-07,2025-10-21,500,500,0,358.15,1209.78,67.06,97.94,RECEIVED
SH8000126,POL0000108,C02,2025-10-14,2025-10-17,71,69,2,450.93,157.37,11.82,40.4,RECEIVED
SH8000127,POL0000108,C02,2025-09-26,2025-09-30,88,87,1,323.25,322.93,14.91,22.33,RECEIVED
SH8000128,POL0000109,C04,2025-12-22,2025-12-26,77,77,0,207.89,370.78,17.02,45.76,RECEIVED
SH8000129,POL0000110,C07,2026-03-28,2026-04-06,46,46,0,112.17,145.92,6.45,26.74,RECEIVED
SH8000130,POL0000111,C04,2025-08-14,2025-08-18,100,100,0,62.28,0.0,3.82,94.48,RECEIVED
SH8000131,POL0000112,C03,2026-02-12,2026-03-01,58,58,0,93.9,210.05,9.78,74.6,RECEIVED
SH8000132,POL0000113,C01,2026-02-24,2026-03-16,119,116,3,50.95,123.97,5.73,93.27,RECEIVED
SH8000133,POL0000114,C04,2025-08-03,2025-08-05,109,109,0,280.96,498.42,19.08,65.62,RECEIVED
SH8000134,POL0000115,C06,2025-07-24,2025-08-02,115,115,0,139.4,104.9,7.01,74.79,RECEIVED
SH8000135,POL0000116,C01,2025-01-15,2025-01-19,40,40,0,93.65,8.04,4.79,74.5,RECEIVED
SH8000136,POL0000116,C06,2025-01-17,2025-01-20,34,33,1,116.95,4.77,3.95,78.96,RECEIVED
SH8000137,POL0000117,C03,2025-03-12,2025-03-24,63,63,0,313.97,40.84,18.63,65.22,RECEIVED
SH8000138,POL0000118,C07,2025-10-09,2025-11-10,50,49,1,69.97,109.2,4.82,119.18,RECEIVED
SH8000139,POL0000119,C02,2025-08-23,2025-09-01,38,38,0,552.65,444.33,21.85,67.82,RECEIVED
SH8000140,POL0000120,C01,2025-04-02,2025-04-26,87,87,0,945.3,665.73,50.07,81.98,RECEIVED
SH8000141,POL0000121,C05,2025-05-07,2025-05-25,451,451,0,411.16,1016.33,50.42,49.0,RECEIVED
SH8000142,POL0000122,C03,2025-07-27,2025-07-30,215,206,9,400.69,348.53,37.94,91.3,RECEIVED
SH8000143,POL0000122,C07,2025-08-01,2025-08-03,96,96,0,199.01,404.27,17.68,57.43,RECEIVED
SH8000144,POL0000123,C02,2025-07-27,2025-08-07,50,50,0,1180.99,515.97,27.85,61.21,RECEIVED
SH8000145,POL0000124,C06,2025-03-27,2025-04-17,100,100,0,583.04,159.28,18.95,78.7,RECEIVED
SH8000146,POL0000125,C06,2025-03-05,2025-03-08,50,50,0,984.34,0.0,35.13,30.94,RECEIVED
SH8000147,POL0000125,C04,2025-03-03,2025-03-09,67,67,0,408.58,0.0,47.08,75.14,RECEIVED
SH8000148,POL0000126,C07,2025-05-25,2025-05-30,95,95,0,748.45,1665.31,71.84,93.46,RECEIVED
SH8000149,POL0000127,C04,2025-07-30,2025-08-12,238,238,0,1167.69,1556.69,106.69,20.04,RECEIVED
SH8000150,POL0000127,C01,2025-07-24,2025-08-10,262,262,0,2278.14,3076.28,117.45,49.34,RECEIVED
SH8000151,POL0000128,C07,2025-06-10,2025-06-16,100,100,0,1132.52,1097.18,63.72,64.19,RECEIVED
SH8000152,POL0000129,C06,2025-04-28,2025-05-04,171,168,3,472.29,0.0,11.74,114.59,RECEIVED
SH8000153,POL0000130,C06,2025-09-20,2025-10-09,100,99,1,186.16,229.26,9.3,112.16,RECEIVED
SH8000154,POL0000131,C03,2026-02-09,2026-02-21,500,500,0,1311.76,2023.31,72.64,84.11,RECEIVED
SH8000155,POL0000132,C05,2025-05-05,2025-05-25,81,81,0,14.4,47.88,2.11,27.64,RECEIVED
SH8000156,POL0000133,C01,2025-12-18,2026-01-09,94,94,0,67.25,317.28,13.16,57.03,RECEIVED
SH8000157,POL0000133,C04,2025-12-13,2026-01-13,54,54,0,145.11,147.92,7.56,39.08,RECEIVED
SH8000158,POL0000134,C03,2025-12-11,2025-12-17,160,157,3,178.79,309.58,12.53,59.02,RECEIVED
SH8000159,POL0000135,C03,2025-10-06,2025-10-10,224,224,0,898.62,383.63,48.22,48.71,RECEIVED
SH8000160,POL0000135,C05,2025-10-06,2025-10-14,294,284,10,461.37,183.63,61.14,51.61,RECEIVED
SH8000161,POL0000136,C03,2025-08-30,2025-09-21,280,278,2,585.39,432.46,39.43,79.43,RECEIVED
SH8000162,POL0000136,C02,2025-09-06,2025-09-27,220,220,0,537.31,481.87,31.2,99.57,RECEIVED
SH8000163,POL0000137,C03,2025-12-12,2025-12-14,293,293,0,502.97,0.0,32.12,63.53,RECEIVED
SH8000164,POL0000138,C06,2025-11-03,2025-11-29,203,203,0,571.9,237.42,39.99,34.13,RECEIVED
SH8000165,POL0000139,C04,2025-01-25,2025-02-01,45,45,0,65.36,35.75,5.55,80.24,RECEIVED
SH8000166,POL0000140,C01,2025-04-11,2025-05-11,63,63,0,494.79,338.35,32.94,69.5,RECEIVED
SH8000167,POL0000140,C07,2025-04-18,2025-05-11,76,75,1,261.46,647.61,39.22,46.05,RECEIVED
SH8000168,POL0000141,C03,2025-07-08,2025-07-14,41,41,0,210.26,381.85,16.32,74.1,RECEIVED
SH8000169,POL0000141,C02,2025-06-28,2025-07-12,49,49,0,751.17,583.47,19.5,32.51,RECEIVED
SH8000170,POL0000142,C04,2026-02-01,2026-02-25,205,205,0,171.16,130.56,9.3,29.29,RECEIVED
SH8000171,POL0000142,C03,2026-02-08,2026-02-28,129,129,0,47.58,128.75,5.85,77.37,RECEIVED
SH8000172,POL0000143,C05,2026-02-10,2026-02-14,23,23,0,17.63,55.86,2.23,22.41,RECEIVED
SH8000173,POL0000143,C07,2026-02-05,2026-02-13,11,11,0,10.58,20.39,1.07,69.67,RECEIVED
SH8000174,POL0000144,C07,2026-03-23,2026-04-07,80,80,0,179.77,98.68,9.64,43.57,RECEIVED
SH8000175,POL0000145,C03,2025-09-11,2025-09-28,20,19,1,74.72,221.06,8.67,66.93,RECEIVED
SH8000176,POL0000145,C07,2025-08-28,2025-09-18,13,13,0,98.16,149.89,5.93,91.91,RECEIVED
SH8000177,POL0000146,C01,2025-12-20,2026-01-06,50,50,0,163.03,202.47,8.17,66.23,RECEIVED
SH8000178,POL0000147,C01,2025-11-18,2025-12-18,278,278,0,327.44,120.2,16.79,75.91,RECEIVED
SH8000179,POL0000148,C04,2025-12-15,2026-01-06,418,418,0,1044.64,1144.63,60.74,96.65,RECEIVED
SH8000180,POL0000149,C03,2025-01-30,2025-02-02,98,98,0,106.76,210.77,10.29,52.0,RECEIVED
SH8000181,POL0000150,C05,2025-06-05,2025-06-08,160,160,0,303.63,458.22,20.62,94.1,RECEIVED
SH8000182,POL0000151,C06,2025-04-23,2025-05-01,187,187,0,1011.2,775.17,63.63,80.29,RECEIVED
SH8000183,POL0000152,C05,2026-02-26,2026-03-11,100,99,1,226.98,403.77,24.04,33.68,RECEIVED
SH8000184,POL0000153,C07,2025-03-21,2025-04-02,158,158,0,12.16,16.05,0.67,79.41,RECEIVED
SH8000185,POL0000154,C02,2025-07-18,2025-07-30,82,82,0,71.39,22.29,3.29,83.03,RECEIVED
SH8000186,POL0000155,C04,2025-02-20,2025-03-07,500,500,0,4702.18,8699.61,326.34,117.81,RECEIVED
SH8000187,POL0000156,C03,2026-01-26,2026-02-03,107,107,0,74.69,123.47,4.17,40.92,RECEIVED
SH8000188,POL0000156,C05,2026-01-27,2026-02-04,51,51,0,31.08,31.94,1.99,26.0,RECEIVED
SH8000189,POL0000157,C05,2025-05-06,2025-05-10,112,112,0,159.01,0.0,13.78,115.08,RECEIVED
SH8000190,POL0000157,C03,2025-05-04,2025-05-08,96,96,0,143.46,0.0,11.81,89.16,RECEIVED
SH8000191,POL0000158,C04,2025-07-19,2025-08-01,86,86,0,597.0,984.11,72.56,71.53,RECEIVED
SH8000192,POL0000158,C04,2025-07-25,2025-08-05,127,127,0,767.55,1734.54,107.15,86.54,RECEIVED
SH8000193,POL0000159,C02,2025-02-14,2025-03-11,153,151,2,91.55,187.49,6.73,91.51,RECEIVED
SH8000194,POL0000160,C03,2025-03-20,2025-04-11,660,656,4,2908.58,1288.87,232.78,57.15,RECEIVED
SH8000195,POL0000161,C02,2025-12-06,2025-12-08,37,37,0,12.14,28.56,0.97,16.32,RECEIVED
SH8000196,POL0000162,C02,2025-07-09,2025-07-31,233,232,1,690.64,339.89,19.74,108.6,RECEIVED
SH8000197,POL0000163,C03,2026-05-05,2026-06-04,100,100,0,251.03,777.43,37.94,76.96,RECEIVED
SH8000198,POL0000164,C04,2025-04-10,2025-05-07,100,100,0,61.47,64.36,3.21,21.87,RECEIVED
SH8000199,POL0000165,C06,2025-03-21,2025-03-27,311,311,0,3850.6,1673.78,94.38,104.02,RECEIVED
SH8000200,POL0000166,C04,2025-12-22,2025-12-27,328,320,8,298.78,64.07,25.92,17.5,RECEIVED
SH8000201,POL0000167,C05,2025-11-02,2025-11-06,111,106,5,79.01,115.6,6.01,92.62,RECEIVED
SH8000202,POL0000168,C05,2025-03-18,2025-04-13,70,70,0,21.53,42.76,2.04,110.62,RECEIVED
SH8000203,POL0000169,C06,2025-04-11,2025-04-13,123,123,0,241.01,0.0,14.29,45.5,RECEIVED
SH8000204,POL0000170,C06,2025-12-29,2026-01-13,183,177,6,734.33,858.97,30.45,83.6,RECEIVED
SH8000205,POL0000171,C01,2025-08-08,2025-08-11,64,64,0,62.65,0.0,4.06,62.16,RECEIVED
SH8000206,POL0000171,C05,2025-08-10,2025-08-13,36,36,0,22.62,0.0,2.28,114.07,RECEIVED
SH8000207,POL0000172,C01,2026-01-16,2026-02-09,59,59,0,270.21,303.03,20.28,28.35,RECEIVED
SH8000208,POL0000173,C04,2025-09-06,2025-09-08,50,50,0,146.9,121.18,9.14,95.76,RECEIVED
SH8000209,POL0000174,C02,2025-10-15,2025-11-11,343,343,0,2939.78,107.47,63.48,54.9,RECEIVED
SH8000210,POL0000175,C03,2025-11-04,2025-11-17,500,494,6,432.26,1517.76,73.88,58.04,RECEIVED
SH8000211,POL0000176,C07,2025-12-30,2026-01-26,85,85,0,31.96,60.84,2.37,95.03,RECEIVED
SH8000212,POL0000176,C04,2026-01-08,2026-01-24,56,56,0,29.71,30.16,1.56,44.66,RECEIVED
SH8000213,POL0000177,C02,2025-09-27,2025-10-17,92,92,0,598.51,564.34,25.73,116.12,RECEIVED
SH8000214,POL0000177,C01,2025-09-19,2025-10-15,80,80,0,256.81,201.3,22.38,19.47,RECEIVED
SH8000215,POL0000178,C04,2026-05-12,2026-06-10,50,50,0,89.36,75.76,7.48,84.86,RECEIVED
SH8000216,POL0000179,C07,2025-11-20,2025-12-15,16,16,0,70.45,122.37,6.33,37.42,RECEIVED
SH8000217,POL0000179,C07,2025-11-16,2025-12-12,10,10,0,76.55,103.34,3.96,58.27,RECEIVED
SH8000218,POL0000180,C02,2025-07-29,2025-08-09,433,433,0,1361.74,1339.57,59.86,74.15,RECEIVED
SH8000219,POL0000181,C07,2025-09-05,2025-10-08,145,145,0,762.66,1186.05,53.77,106.97,RECEIVED
SH8000220,POL0000182,C04,2026-03-14,2026-03-28,500,492,8,1678.16,2921.14,138.39,45.42,RECEIVED
SH8000221,POL0000183,C06,2025-10-26,2025-11-01,500,500,0,2207.01,925.24,44.7,109.88,RECEIVED
SH8000222,POL0000184,C04,2025-12-18,2025-12-22,83,83,0,493.61,780.48,26.81,114.39,RECEIVED
SH8000223,POL0000185,C07,2026-04-25,2026-05-06,63,63,0,22.67,65.62,3.63,98.93,RECEIVED
SH8000224,POL0000185,C05,2026-04-24,2026-05-06,37,36,1,38.49,1.46,2.07,48.45,RECEIVED
SH8000225,POL0000186,C05,2026-01-03,2026-01-21,500,493,7,97.08,323.76,18.81,46.78,RECEIVED
SH8000226,POL0000187,C04,2025-09-21,2025-10-10,54,54,0,109.88,27.95,7.04,51.36,RECEIVED
SH8000227,POL0000188,C01,2025-05-27,2025-06-21,64,64,0,84.48,119.07,4.92,26.24,RECEIVED
SH8000228,POL0000189,C01,2025-08-02,2025-08-05,58,57,1,216.47,599.27,27.81,24.62,RECEIVED
SH8000229,POL0000189,C04,2025-07-20,2025-07-24,50,50,0,421.15,518.34,24.4,67.01,RECEIVED
SH8000230,POL0000190,C06,2025-10-20,2025-11-06,196,196,0,1322.67,1762.24,77.12,34.76,RECEIVED
SH8000231,POL0000191,C03,2026-03-10,2026-03-26,25,25,0,125.83,14.96,7.71,21.59,RECEIVED
SH8000232,POL0000192,C06,2026-02-04,2026-02-20,221,219,2,1097.63,897.23,31.18,74.77,RECEIVED
SH8000233,POL0000193,C04,2025-07-05,2025-07-26,100,99,1,164.68,88.05,9.05,98.61,RECEIVED
SH8000234,POL0000194,C04,2025-08-23,2025-09-13,231,231,0,135.52,129.51,6.83,56.94,RECEIVED
SH8000235,POL0000195,C07,2026-04-01,2026-04-21,85,84,1,128.7,505.81,17.4,21.27,RECEIVED
SH8000236,POL0000196,C06,2025-03-24,2025-04-15,185,184,1,1180.84,607.04,33.08,77.91,RECEIVED
SH8000237,POL0000197,C06,2025-08-02,2025-09-06,30,30,0,848.35,528.42,18.11,97.61,RECEIVED
